Name,Company,Level Audition,Re-Evaluation,note,ep2,ep4,ep6,ep10,ep12
Li Junhao,Times Fengjun Entertainment,C,B,,1,2,2,4,11
Yu Jingtian,Tony,Astro Music,A,A,,2,1,1,1,1
Tang Jiuzhou,Yihua Entertainment,N,N,,3,5,5,5,5
Lian Huaiwei,Lian Huaiwei Studio,C,A,,4,6,6,3,3
Sun Yihang,Original Plan Entertainment,B,A,,5,7,7,7,4
Liang Sen,Young Entertainment,A,B,,6,3,3,2,7
Liu Jun,Independent,A,A,,7,9,8,8,8
Jiang Jingzuo,Banana Entertainment,C,A,,8,13,14,17,23
IKELILI,Huayi Hohan Film & Television,B,B,,9,14,18,23,49
Chen Junhao,Mujia Entertainment,N,C,,10,11,13,15,33
Chang Huasen,Haohan Entertainment,N,N,,11,15,17,16,9
Deng Xiaoci,Ciwen Media,N,N,,12,8,9,9,38
Yan Xi,Independent,C,C,,13,18,22,20,20
Shi Qi,TechMax Entertainment,B,C,,14,10,10,10,25
Deng Zeming,Ciwen Media,B,B,,15,20,20,21,19
Qiu Danfeng,Ruice Entertainment,N,C,,16,22,23,29,37
Xu Xinchi,Xinli Media,N,C,,17,16,12,12,16
Chen Dingding,Damei Defeng Entertainment,C,C,,18,28,37,49,52
Gao Yibai,GaoYiBai Studios,N,N,,19,32,54,-,-
Zi Yu,HuaKaiBanXia Culture Media,C,C,,20,27,28,22,18
Yang Haoming,Sohu Etertainment,B,B,,21,26,27,34,36
Niu Zaizai,TaoXiuGuangYing,N,N,,22,29,30,42,47
Zheng Xingyuan,Huakaibanxia Cultural Media,B,B,,23,31,34,31,22
Zhang Siyuan,Pretone Culture,B,C,,24,17,19,19,40
Cui Yunfeng,Damei Defeng Entertainment,C,A,,25,34,44,54,42
Qi Ha,Damei Defeng Entertainment,C,B,,26,33,47,-,-
Wang Haoxuan,Hedgehog Brothers Entertainment,C,C,,27,21,26,35,50
Ayu,Jinhe entertainment,C,N,,28,30,24,33,51
Sun Yinghao,Laoyu Vision,A,A,,29,12,11,11,6
Shi Qijun,Damei Defeng Entertainment,C,C,,30,41,53,-,-
Ka Si,Damei Defeng Entertainment,C,B,,31,45,57,-,-
Chen Yugeng,Hot Idol,N,B,,32,36,33,28,30
Yang Yangyang,Original Plan Entertainment,N,C,,33,50,71,-,-
Cao Zijun,Mid Summer Starry Sky,N,C,,34,51,61,-,-
Chen Jianyu,Youhug Entertainment,C,C,,35,54,66,-,-
Wang Nanjun,Black Gold Entertainment,B,B,,36,24,25,24,26
Liang Hongli,Yicheng Entertainment,N,N,,37,84,64,-,-
Cao Yu,Mavericks Entertainment,C,B,,38,39,38,38,31
Aierfajin,Kss Entertainment,N,N,,39,59,72,-,-
Gong Yixing,Independent,N,C,,40,49,51,47,28
Wang Linkai,STF Entertainment,C,B,,41,65,69,60,59
Liu Junhao,Haohan Entertainment,N,N,,42,58,68,48,45
Huang Hongming,Independent,N,N,,43,53,56,37,24
Liu Guanyou,Haohan Entertainment,B,A,,57,80,96,32,12
Yang Tao,Qin’s Entertainment,N,N,,45,57,76,-,-
Yi Xuan,Shining Star Culture (YG China),C,C,,46,38,31,30,13
Ying Chenxi,Black Gold Entertainment,C,B,,47,56,81,-,-
Luo Yizhou,Youhug Entertainment,A,A,,48,19,16,14,2
Bao Han,Haohan Entertainment,N,N,,49,89,104,-,-
Yu Yanlong,Emperor Entertainment Group (EEG),C,C,,50,67,82,-,-
Zhang Jingyun,Yihua Entertainment,C,C,,51,68,70,-,-
Liu Xin,Qin’s Entertainment,N,B,,52,78,94,-,-
Yuta Hashimoto,Sony Music Japan,C,B,,53,43,42,51,27
Ailizati,Simply Joy Music,C,C,,54,47,55,59,35
Li Mingxu,Huakaibanxia Cultural Media,C,C,,55,63,74,56,57
Han Jingde,Hixi Superstar,N,N,,56,35,41,50,55
Zhou Junyu,KSS Entertainment,N,C,,57,80,85,-,-
Chen Junyu,Show City Times,B,B,,58,52,40,53,44
Cai Feiyang,STF Entertainment,C,C,,59,97,107,-,-
Li Qin,Black Gold Entertainment,C,N,,60,42,43,45,14
Du Tianyu,Tianma Xinghe Entertainment,N,C,,61,46,29,36,21
Zhong Junyi,L.tao Entertainment,C,B,,62,37,39,57,54
Wang Jiachen,Fatang Culture,B,C,,63,60,45,27,17
Ma Sihan,Qin’s Entertainment,C,C,,64,73,78,-,-
Bai Lu,B.K Entertainment,B,C,,65,82,60,55,34
Xiong Yiwen,Nuclear Fire Media,B,C,,66,85,67,-,-
Zhao Jinyao,Banana Entertainment,N,B,,67,66,65,43,58
He Derui,Most World Culture,N,C,,68,98,35,25,15
Huang Jianxi,STF Entertainment,C,C,,69,99,110,-,-
Bai Ding,Show City Times,B,N,,70,40,32,39,48
